63
# x y z 
0.0	0.0	70.2083781
30	51	37	44	0.03	1034.227
31	52	38	45	0.03	1129.333
32	53	39	46	0.03	1206.593
33	54	40	47	0.03	1278.802
34	55	41	48	0.03	1297.044
35	56	42	49	0.03	1275.751
36	57	43	50	0.03	1263.7
37	58	44	51	0.03	1226.841
38	59	45	52	0.03	1272.949
39	60	46	53	0.03	1249.044
40	61	47	54	0.03	1222.469
41	62	48	55	0.03	1209.444
42	63	49	56	0.03	1280.863
43	64	50	57	0.03	1356.507
1	25	9	17	0.03	991.321
2	26	10	18	0.03	919.7605
3	27	11	19	0.03	1020.0
4	28	12	20	0.03	1100.0
5	29	13	21	0.03	1142.881
6	30	14	22	0.03	1140.0
7	31	15	23	0.03	1140.0
8	32	16	24	0.03	1133.525
9	33	17	25	0.03	1062.451
10	34	18	26	0.03	995.3983
11	35	19	27	0.03	877.0314
12	36	20	28	0.03	731.81
13	37	21	29	0.03	651.0421
14	38	22	30	0.03	603.2831
15	39	23	31	0.03	573.145
16	40	24	32	0.03	589.1465
17	41	25	33	0.03	611.3204
18	42	26	34	0.03	603.4064
19	43	27	35	0.03	629.8213
20	44	28	36	0.03	671.8117
21	45	29	37	0.03	700.0
22	46	30	38	0.03	752.6925
23	47	31	39	0.03	782.1464
24	48	32	40	0.03	813.9927
25	49	33	41	0.03	829.3999
26	50	34	42	0.03	918.869
27	51	35	43	0.03	974.7649
28	52	36	44	0.03	1050.0
29	53	37	45	0.03	1124.703
30	54	38	46	0.03	1216.916
31	55	39	47	0.03	1287.147
32	56	40	48	0.03	1293.986
33	57	41	49	0.03	1267.826
34	58	42	50	0.03	1197.883
35	59	43	51	0.03	1267.232
36	60	44	52	0.03	1213.158
37	61	45	53	0.03	1234.438
38	62	46	54	0.03	1221.269
39	63	47	55	0.03	1187.792
40	64	48	56	0.03	1226.259
1	28	10	19	0.03	979.0721
2	29	11	20	0.03	992.894
3	30	12	21	0.03	1000.0
4	31	13	22	0.03	1069.563
5	32	14	23	0.03	1158.282
6	33	15	24	0.03	1098.42
7	34	16	25	0.03	1068.191
8	35	17	26	0.03	1063.206
9	36	18	27	0.03	992.5078
10	37	19	28	0.03	887.3906
11	38	20	29	0.03	775.849
12	39	21	30	0.03	684.8303
13	40	22	31	0.03	623.1107
14	41	23	32	0.03	585.8571
15	42	24	33	0.03	595.6906
16	43	25	34	0.03	608.6255
17	44	26	35	0.03	617.1931
18	45	27	36	0.03	634.7847
19	46	28	37	0.03	691.8253
20	47	29	38	0.03	743.3668
21	48	30	39	0.03	789.3618
22	49	31	40	0.03	822.0503
23	50	32	41	0.03	855.7336
24	51	33	42	0.03	894.1028
25	52	34	43	0.03	967.3947
26	53	35	44	0.03	1036.276
27	54	36	45	0.03	1124.68
28	55	37	46	0.03	1214.418
29	56	38	47	0.03	1267.764
